date,513100,518880,510300,511260,159915
2018-01-24,2.344,2.774,4.659,98.25,1.714
2018-01-25,2.324,2.784,4.631,97.816,1.708
2018-01-26,2.32,2.767,4.653,98.027,1.72
2018-01-29,2.344,2.754,4.57,98.01,1.701
2018-01-30,2.32,2.731,4.526,97.861,1.687
2018-01-31,2.309,2.735,4.539,98.053,1.633
2018-02-01,2.305,2.729,4.509,97.966,1.603
2018-02-02,2.294,2.731,4.535,98.168,1.607
2018-02-05,2.227,2.705,4.531,98.17,1.594
2018-02-06,2.095,2.726,4.411,98.001,1.505
2018-02-07,2.164,2.689,4.313,98.201,1.523
2018-02-08,2.169,2.68,4.28,98.342,1.548
2018-02-09,2.092,2.692,4.095,98.4,1.502
2018-02-12,2.131,2.694,4.15,98.251,1.553
2018-02-13,2.164,2.708,4.197,98.282,1.557
2018-02-14,2.193,2.73,4.232,98.891,1.549
2018-02-22,2.232,2.704,4.314,98.6,1.58
2018-02-23,2.249,2.712,4.336,98.6,1.572
2018-02-26,2.292,2.727,4.388,99.345,1.63
2018-02-27,2.32,2.712,4.329,99.5,1.639
2018-02-28,2.286,2.692,4.288,99.467,1.651
2018-03-01,2.288,2.689,4.317,99.392,1.687
2018-03-02,2.253,2.7,4.29,99.292,1.669
2018-03-05,2.268,2.71,4.281,99.201,1.69
2018-03-06,2.298,2.709,4.341,99.255,1.693
2018-03-07,2.284,2.719,4.308,99.2,1.679
2018-03-08,2.302,2.714,4.349,99.072,1.686
2018-03-09,2.319,2.7,4.379,99.08,1.755
2018-03-12,2.368,2.699,4.391,99.092,1.777
2018-03-13,2.368,2.698,4.347,99.05,1.767
2018-03-14,2.338,2.702,4.333,98.978,1.741
2018-03-15,2.337,2.699,4.363,99.019,1.742
2018-03-16,2.338,2.688,4.318,99.03,1.716
2018-03-19,2.333,2.678,4.34,99.17,1.736
2018-03-20,2.293,2.689,4.338,99.2,1.76
2018-03-21,2.294,2.69,4.317,99.184,1.72
2018-03-22,2.288,2.713,4.281,99.39,1.711
2018-03-23,2.204,2.741,4.162,99.99,1.622
2018-03-26,2.187,2.738,4.144,99.7,1.673
2018-03-27,2.27,2.736,4.179,99.56,1.738
2018-03-28,2.185,2.721,4.1,99.668,1.73
2018-03-29,2.186,2.688,4.17,99.331,1.739
2018-03-30,2.194,2.692,4.164,99.565,1.791
2018-04-02,2.177,2.696,4.151,99.769,1.788
2018-04-03,2.126,2.716,4.126,99.78,1.764
2018-04-04,2.13,2.712,4.116,99.879,1.732
2018-04-09,2.143,2.707,4.121,100.226,1.737
2018-04-10,2.186,2.71,4.196,100.151,1.732
2018-04-11,2.185,2.726,4.201,100.251,1.729
2018-04-12,2.181,2.735,4.16,100.296,1.72
2018-04-13,2.203,2.714,4.133,100.29,1.721
2018-04-16,2.189,2.725,4.072,100.4,1.736
2018-04-17,2.208,2.729,4.016,100.699,1.683
2018-04-18,2.247,2.727,4.024,101.001,1.718
2018-04-19,2.249,2.734,4.077,101.6,1.715
2018-04-20,2.236,2.722,4.018,101.621,1.684
2018-04-23,2.202,2.708,4.034,101.6,1.653
2018-04-24,2.215,2.7,4.113,101.7,1.705
2018-04-25,2.171,2.699,4.09,101.6,1.715
2018-04-26,2.171,2.702,4.014,101.6,1.681
2018-04-27,2.233,2.692,4.022,101.6,1.707
2018-05-02,2.231,2.684,4.034,101.091,1.701
2018-05-03,2.221,2.684,4.056,101.11,1.726
2018-05-04,2.228,2.687,4.038,101.186,1.712
2018-05-07,2.27,2.694,4.099,101.203,1.749
2018-05-08,2.274,2.692,4.149,101.011,1.753
2018-05-09,2.272,2.689,4.138,100.77,1.749
2018-05-10,2.304,2.69,4.164,100.6,1.762
2018-05-11,2.317,2.693,4.141,100.7,1.734
2018-05-14,2.315,2.694,4.175,100.206,1.728
2018-05-15,2.311,2.68,4.19,100.401,1.756
2018-05-16,2.289,2.654,4.158,100.5,1.745
2018-05-17,2.309,2.642,4.125,100.6,1.729
2018-05-18,2.308,2.644,4.167,100.6,1.731
2018-05-21,2.324,2.639,4.186,100.7,1.757
2018-05-22,2.316,2.646,4.17,100.9,1.77
2018-05-23,2.298,2.649,4.119,100.9,1.745
2018-05-24,2.323,2.665,4.088,101.143,1.737
2018-05-25,2.327,2.678,4.079,101.081,1.705
2018-05-28,2.337,2.667,4.103,101.559,1.698
2018-05-29,2.335,2.676,4.067,101.634,1.678
2018-05-30,2.319,2.683,3.995,101.8,1.633
2018-05-31,2.35,2.686,4.071,101.791,1.649
2018-06-01,2.341,2.68,4.045,101.704,1.62
2018-06-04,2.384,2.665,4.082,101.642,1.613
2018-06-05,2.414,2.662,4.114,101.424,1.653
2018-06-06,2.42,2.666,4.107,101.466,1.65
2018-06-07,2.439,2.664,4.106,101.267,1.636
2018-06-08,2.405,2.664,4.055,101.109,1.62
2018-06-11,2.431,2.671,4.065,101.362,1.601
2018-06-12,2.438,2.669,4.103,101.344,1.619
2018-06-13,2.451,2.667,4.064,101.101,1.597
2018-06-14,2.436,2.677,4.054,101.161,1.587
2018-06-15,2.472,2.682,4.048,101.261,1.554
2018-06-19,2.442,2.659,3.918,101.103,1.467
2018-06-20,2.458,2.651,3.918,101.3,1.478
2018-06-21,2.505,2.641,3.888,101.6,1.441
2018-06-22,2.488,2.653,3.904,101.788,1.466
2018-06-25,2.471,2.658,3.853,102.0,1.455
2018-06-26,2.431,2.657,3.818,101.9,1.485
2018-06-27,2.413,2.663,3.734,101.601,1.466
2018-06-28,2.396,2.655,3.714,101.9,1.462
2018-06-29,2.449,2.661,3.805,102.2,1.524
2018-07-02,2.437,2.667,3.711,102.396,1.503
2018-07-03,2.503,2.665,3.698,102.796,1.52
2018-07-04,2.459,2.673,3.662,102.5,1.486
2018-07-05,2.46,2.675,3.634,102.5,1.452
2018-07-06,2.497,2.68,3.663,102.5,1.464
2018-07-09,2.574,2.677,3.762,102.3,1.504
2018-07-10,2.604,2.668,3.771,102.374,1.516
2018-07-11,2.554,2.676,3.713,102.157,1.488
2018-07-12,2.578,2.668,3.796,102.4,1.54
2018-07-13,2.603,2.665,3.802,102.401,1.542
2018-07-16,2.584,2.669,3.787,102.74,1.542
2018-07-17,2.559,2.664,3.765,102.88,1.543
2018-07-18,2.595,2.639,3.749,102.728,1.532
2018-07-19,2.607,2.65,3.751,102.999,1.514
2018-07-20,2.61,2.655,3.818,103.1,1.535
2018-07-23,2.602,2.668,3.841,102.8,1.54
2018-07-24,2.641,2.666,3.907,102.614,1.549
2018-07-25,2.65,2.668,3.906,102.5,1.551
2018-07-26,2.656,2.672,3.859,102.589,1.534
2018-07-27,2.658,2.669,3.85,102.649,1.518
2018-07-30,2.646,2.671,3.83,102.6,1.484
2018-07-31,2.584,2.673,3.843,102.699,1.489
2018-08-01,2.617,2.672,3.763,102.698,1.471
2018-08-02,2.623,2.664,3.685,103.2,1.44
2018-08-03,2.702,2.663,3.637,103.3,1.414
2018-08-06,2.768,2.663,3.602,103.689,1.374
2018-08-07,2.754,2.662,3.695,103.26,1.412
2018-08-08,2.71,2.658,3.645,102.839,1.381
2018-08-09,2.673,2.658,3.726,102.851,1.426
2018-08-10,2.667,2.656,3.732,102.905,1.437
2018-08-13,2.66,2.664,3.717,102.341,1.458
2018-08-14,2.679,2.641,3.702,102.541,1.446
2018-08-15,2.71,2.637,3.62,102.885,1.409
2018-08-16,2.662,2.604,3.606,102.605,1.396
2018-08-17,2.668,2.598,3.555,102.605,1.369
2018-08-20,2.655,2.615,3.59,101.751,1.367
2018-08-21,2.638,2.627,3.647,101.951,1.387
2018-08-22,2.636,2.626,3.641,101.74,1.375
2018-08-23,2.665,2.627,3.651,102.2,1.388
2018-08-24,2.666,2.628,3.656,102.005,1.382
2018-08-27,2.678,2.641,3.741,102.227,1.426
2018-08-28,2.705,2.65,3.731,102.218,1.423
2018-08-29,2.708,2.638,3.718,102.333,1.411
2018-08-30,2.748,2.641,3.684,102.496,1.389
2018-08-31,2.74,2.646,3.658,102.577,1.369
2018-09-03,2.742,2.635,3.651,102.39,1.375
2018-09-04,2.754,2.626,3.691,102.381,1.385
2018-09-05,2.728,2.624,3.621,102.3,1.363
2018-09-06,2.684,2.633,3.592,102.188,1.355
2018-09-07,2.662,2.642,3.614,102.157,1.36
2018-09-10,2.68,2.633,3.566,102.11,1.327
2018-09-11,2.693,2.64,3.554,101.887,1.332
2018-09-12,2.722,2.639,3.531,101.771,1.32
2018-09-13,2.695,2.65,3.566,101.751,1.326
2018-09-14,2.722,2.656,3.571,101.98,1.304
2018-09-17,2.709,2.642,3.54,102.101,1.288
2018-09-18,2.673,2.646,3.603,102.184,1.312
2018-09-19,2.696,2.648,3.648,102.168,1.324
2018-09-20,2.691,2.651,3.646,101.97,1.32
2018-09-21,2.72,2.657,3.752,101.819,1.343
2018-09-25,2.709,2.649,3.717,101.99,1.338
2018-09-26,2.726,2.653,3.755,102.03,1.352
2018-09-27,2.721,2.642,3.74,102.14,1.333
2018-09-28,2.754,2.623,3.776,102.373,1.346
2018-10-08,2.677,2.656,3.609,102.407,1.289
2018-10-09,2.675,2.652,3.616,102.532,1.283
2018-10-10,2.685,2.652,3.614,102.47,1.282
2018-10-11,2.51,2.665,3.442,102.639,1.196
2018-10-12,2.564,2.702,3.501,102.814,1.206
2018-10-15,2.555,2.728,3.454,102.806,1.19
2018-10-16,2.559,2.727,3.433,102.84,1.16
2018-10-17,2.647,2.719,3.444,102.916,1.174
2018-10-18,2.619,2.722,3.374,102.893,1.153
2018-10-19,2.599,2.734,3.453,103.068,1.189
2018-10-22,2.587,2.73,3.621,102.95,1.26
2018-10-23,2.544,2.744,3.508,102.897,1.231
2018-10-24,2.56,2.745,3.513,102.99,1.226
2018-10-25,2.477,2.759,3.529,103.169,1.216
2018-10-26,2.49,2.757,3.496,103.183,1.203
2018-10-29,2.483,2.753,3.399,103.195,1.192
2018-10-30,2.449,2.747,3.436,103.431,1.204
2018-10-31,2.486,2.724,3.473,103.402,1.216
2018-11-01,2.514,2.73,3.496,103.471,1.227
2018-11-02,2.547,2.731,3.631,103.42,1.291
2018-11-05,2.505,2.732,3.588,103.293,1.287
2018-11-06,2.499,2.734,3.567,103.461,1.286
2018-11-07,2.528,2.735,3.54,103.583,1.282
2018-11-08,2.588,2.724,3.537,103.9,1.265
2018-11-09,2.575,2.718,3.496,103.83,1.26
2018-11-12,2.568,2.698,3.532,103.871,1.305
2018-11-13,2.491,2.689,3.566,103.875,1.326
2018-11-14,2.483,2.688,3.526,104.203,1.32
2018-11-15,2.464,2.703,3.569,104.511,1.336
2018-11-16,2.474,2.707,3.579,104.708,1.332
2018-11-19,2.484,2.714,3.616,104.843,1.325
2018-11-20,2.396,2.724,3.543,104.736,1.291
2018-11-21,2.379,2.723,3.546,104.743,1.294
2018-11-22,2.377,2.728,3.537,104.674,1.285
2018-11-23,2.361,2.731,3.452,104.684,1.248
2018-11-26,2.382,2.727,3.457,104.498,1.244
2018-11-27,2.41,2.722,3.454,104.507,1.253
2018-11-28,2.435,2.71,3.502,104.545,1.277
2018-11-29,2.483,2.731,3.47,104.752,1.247
2018-11-30,2.493,2.732,3.503,104.587,1.264
2018-12-03,2.558,2.72,3.587,104.737,1.31
2018-12-04,2.513,2.72,3.592,104.966,1.315
2018-12-05,2.444,2.725,3.577,105.223,1.315
2018-12-06,2.404,2.735,3.51,105.339,1.28
2018-12-07,2.44,2.738,3.503,105.38,1.275
2018-12-10,2.368,2.767,3.473,105.499,1.264
2018-12-11,2.399,2.763,3.486,105.654,1.277
2018-12-12,2.429,2.75,3.497,105.685,1.276
2018-12-13,2.443,2.748,3.552,105.335,1.286
2018-12-14,2.411,2.745,3.495,104.982,1.248
2018-12-17,2.387,2.746,3.491,104.91,1.24
2018-12-18,2.337,2.761,3.451,104.746,1.232
2018-12-19,2.336,2.77,3.418,104.885,1.209
2018-12-20,2.272,2.77,3.395,105.195,1.219
2018-12-21,2.267,2.788,3.356,105.422,1.213
